	行   558: 05-30 11:07:24.111 21051 21544 I A00368/com.miHoYo.Yuanshen/gltrace: depth_overlay.cpp,564: [DEBUG] Depth overlay: FBO gDepthBlitFBO (4) complete
	行   559: 05-30 11:07:24.111 21051 21544 I A00368/com.miHoYo.Yuanshen/gltrace: depth_overlay.cpp,570: [DEBUG] Depth overlay: depthToColor program validate status=1
	行   560: 05-30 11:07:24.111 21051 21544 I A00368/com.miHoYo.Yuanshen/gltrace: depth_overlay.cpp,581: [DEBUG] Depth overlay: u_depthTexture location=0, binding texture=41
	行   561: 05-30 11:07:24.111 21051 21544 I A00368/com.miHoYo.Yuanshen/gltrace: depth_overlay.cpp,585: [DEBUG] Depth overlay: attribute locations - pos=0, tex=1
	行   562: 05-30 11:07:24.111 21051 21544 I A00368/com.miHoYo.Yuanshen/gltrace: depth_overlay.cpp,638: [DEBUG] Depth overlay: FBO gOverlayFBO (3) complete
	行   563: 05-30 11:07:24.111 21051 21544 I A00368/com.miHoYo.Yuanshen/gltrace: depth_overlay.cpp,647: [DEBUG] Depth overlay: first blit - read from currentFBO=0 to gOverlayFBO left half
	行   564: 05-30 11:07:24.111 21051 21544 I A00368/com.miHoYo.Yuanshen/gltrace: depth_overlay.cpp,662: [DEBUG] Depth overlay: second blit - read from gDepthBlitFBO=4 to gOverlayFBO right half
	行   565: 05-30 11:07:24.111 21051 21544 I A00368/com.miHoYo.Yuanshen/gltrace: depth_overlay.cpp,667: [DEBUG] Depth overlay: final blit - from gOverlayFBO=3 to savedFBO=0
	行   589: 05-30 11:07:24.167 21051 21544 I A00368/com.miHoYo.Yuanshen/gltrace: tcp_egltrace_auto.cpp,1538: [DEBUG] Depth overlay: FBO=265 has depth attachment type=0x1702
	行   597: 05-30 11:07:24.178 21051 21544 I A00368/com.miHoYo.Yuanshen/gltrace: tcp_egltrace_auto.cpp,1538: [DEBUG] Depth overlay: FBO=7 has depth attachment type=0x1702
	行   598: 05-30 11:07:24.178 21051 21544 I A00368/com.miHoYo.Yuanshen/gltrace: tcp_egltrace_auto.cpp,28974: [DEBUG] Depth overlay: g_frame_id:864 detected depth blit from FBO=265, mask=0x100 filter=2600
	行   603: 05-30 11:07:24.178 21051 21544 I A00368/com.miHoYo.Yuanshen/gltrace: tcp_egltrace_auto.cpp,1538: [DEBUG] Depth overlay: FBO=265 has depth attachment type=0x1702
	行   606: 05-30 11:07:24.178 21051 21544 I A00368/com.miHoYo.Yuanshen/gltrace: tcp_egltrace_auto.cpp,1538: [DEBUG] Depth overlay: FBO=13 has depth attachment type=0x1702
	行   662: 05-30 11:07:24.183 21051 21544 I A00368/com.miHoYo.Yuanshen/gltrace: tcp_egltrace_auto.cpp,1538: [DEBUG] Depth overlay: FBO=283 has depth attachment type=0x1702
	行   665: 05-30 11:07:24.184 21051 21544 I A00368/com.miHoYo.Yuanshen/gltrace: tcp_egltrace_auto.cpp,1538: [DEBUG] Depth overlay: FBO=284 has depth attachment type=0x1702
	行   679: 05-30 11:07:24.187 21051 21544 I A00368/com.miHoYo.Yuanshen/gltrace: tcp_egltrace_auto.cpp,1538: [DEBUG] Depth overlay: FBO=282 has depth attachment type=0x1702
	行   683: 05-30 11:07:24.189 21051 21544 I A00368/com.miHoYo.Yuanshen/gltrace: tcp_egltrace_auto.cpp,1538: [DEBUG] Depth overlay: FBO=285 has depth attachment type=0x1702
	行   713: 05-30 11:07:24.191 21051 21544 I A00368/com.miHoYo.Yuanshen/gltrace: tcp_egltrace_auto.cpp,1538: [DEBUG] Depth overlay: FBO=1 has depth attachment type=0x8d41
	行   728: 05-30 11:07:24.192 21051 21544 I A00368/com.miHoYo.Yuanshen/gltrace: tcp_egltrace_auto.cpp,41226: [DEBUG] Depth overlay: selected best depth FBO=265 (draws=285, verts=855168)
	行   729: 05-30 11:07:24.192 21051 21544 I A00368/com.miHoYo.Yuanshen/gltrace: depth_overlay.cpp,103: [DEBUG] Depth overlay: trigger file check result=1, path=/data/storage/el2/base/haps/inputs/results/depth_overlay
